"id","account_type","actions","device_id","duration","end_date","end_date_when_not_saved","installer_package","ip","ip_address","os_version","referrer","screen_views","start_date","user_agent","version"
"iJwnsVJH5TR2IBA","hotel","","UKJEA06Vl","128","","2022-11-16T16:36:34.962Z","com.android.vending","80.9.240.131","10.133.225.207","11","","","2022-11-16T16:34:26.888Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2 Build/RKQ1.210607.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.71 Mobile Safari/537.36""","1.0.12"
"erSqlClaV4xqjiK","","","2047358982.1667950602534","8101","","","","92.184.124.75","","","","","2023-01-18T17:36:10.375Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36""","0.1.0"
"2D0sjzZXbI3Aj6Z","hotel","","UKJEA06Vl","190","","2022-11-18T10:15:57.525Z","com.android.vending","92.184.108.83","10.48.159.92","11","","[{""M"":{""duration"":{""N"":""21""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""Fri Nov 18 11:13:47 2022""}}},{""M"":{""duration"":{""N"":""18""},""screen_name"":{""S"":""related_items""},""log_time"":{""S"":""Fri Nov 18 11:14:27 2022""}}},{""M"":{""duration"":{""N"":""91""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""Fri Nov 18 11:14:28 2022""}}},{""M"":{""duration"":{""N"":""20""},""screen_name"":{""S"":""analytics""},""log_time"":{""S"":""Fri Nov 18 11:14:51 2022""}}},{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""Fri Nov 18 11:14:59 2022""}}},{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""settings""},""log_time"":{""S"":""Fri Nov 18 11:15:20 2022""}}},{""M"":{""duration"":{""N"":""13""},""screen_name"":{""S"":""qr""},""log_time"":{""S"":""Fri Nov 18 11:15:53 2022""}}}]","2022-11-18T10:12:47.998Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2 Build/RKQ1.210607.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.71 Mobile Safari/537.36""","1.0.12"
"t4vVAAM1D3t3YVy","","","7124844732.1678671274185","63","2023-03-13T01:38:44.418Z","","unknown","108.177.29.88","","12","","","2023-03-13T01:37:41.887Z","""Mozilla/5.0 (Linux; Android 12; Pixel 6 Build/SQ1D.220205.004; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.4472.114 Mobile Safari/537.36""","1.0.13"
"C38Vs7qPvjiT93U","hotel","","6864572312.1668906081515","7","2023-01-16T07:53:02.481Z","","com.android.vending","92.184.97.123","","11","","","2023-01-16T07:52:55.299Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2 Build/RKQ1.210607.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/108.0.5359.128 Mobile Safari/537.36""","1.0.13"
"D1O4F6M3Tz0WetD","hotel","","4UMwIlcDR","1022","","","appstore","80.9.240.131","192.168.1.12","15.3.1","","[{""M"":{""duration"":{""N"":""41""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:03:30""}}},{""M"":{""duration"":{""N"":""15""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:03:45""}}},{""M"":{""duration"":{""N"":""28""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:04:15""}}},{""M"":{""duration"":{""N"":""11""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:04:26""}}},{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:04:31""}}},{""M"":{""duration"":{""N"":""8""},""screen_name"":{""S"":""related_items""},""log_time"":{""S"":""01:04:42""}}},{""M"":{""duration"":{""N"":""22""},""screen_name"":{""S"":""account_info""},""log_time"":{""S"":""01:05:20""}}},{""M"":{""duration"":{""N"":""6""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:15""}}},{""M"":{""duration"":{""N"":""5""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:22""}}},{""M"":{""duration"":{""N"":""5""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:28""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:32""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:35""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:38""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:41""}}},{""M"":{""duration"":{""N"":""8""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:06:49""}}},{""M"":{""duration"":{""N"":""19""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""01:07:09""}}},{""M"":{""duration"":{""N"":""274""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""01:07:19""}}},{""M"":{""duration"":{""N"":""24""},""screen_name"":{""S"":""analytics""},""log_time"":{""S"":""01:07:44""}}},{""M"":{""duration"":{""N"":""28""},""screen_name"":{""S"":""analytics""},""log_time"":{""S"":""01:08:15""}}},{""M"":{""duration"":{""N"":""22""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:08:47""}}},{""M"":{""duration"":{""N"":""6""},""screen_name"":{""S"":""related_items""},""log_time"":{""S"":""01:08:57""}}},{""M"":{""duration"":{""N"":""27""},""screen_name"":{""S"":""account_info""},""log_time"":{""S"":""01:09:33""}}},{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:10:06""}}},{""M"":{""duration"":{""N"":""5""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:10:12""}}},{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:10:19""}}},{""M"":{""duration"":{""N"":""124""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""01:10:21""}}},{""M"":{""duration"":{""N"":""1""},""screen_name"":{""S"":""settings""},""log_time"":{""S"":""01:10:26""}}},{""M"":{""duration"":{""N"":""3""},""screen_name"":{""S"":""qr""},""log_time"":{""S"":""01:10:30""}}},{""M"":{""duration"":{""N"":""46""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""01:11:16""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""01:12:06""}}},{""M"":{""duration"":{""N"":""1""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""01:12:16""}}},{""M"":{""duration"":{""N"":""11""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""01:15:29""}}},{""M"":{""duration"":{""N"":""16""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""01:15:30""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""01:15:39""}}},{""M"":{""duration"":{""N"":""1""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""01:18:07""}}},{""M"":{""duration"":{""N"":""12""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""01:19:41""}}}]","2022-11-18T00:02:41.823Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""","1.0.9"
"qSrJqbMnlZhMWYz","hotel","","UKJEA06Vl","109","","2022-11-16T16:23:27.464Z","com.android.vending","80.9.240.131","10.133.225.207","11","","","2022-11-16T16:21:38.971Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2 Build/RKQ1.210607.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.71 Mobile Safari/537.36""","1.0.12"
"KFuVEIBQhwFLBbm","","","2047358982.1667950602534","42","","","","178.249.212.31","","","","","2023-01-01T21:39:12.513Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36""","0.1.0"
"j6ZQlxLeSsdjpQb","","","5943260115.1676985769960","14","","","","89.207.171.76","","","","","2023-02-21T13:23:12.818Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36""","0.1.0"
"xopH1uc2rHbkwDR","","","5904789064.1679981429172","50","2023-03-28T05:32:49.812Z","","unknown","34.69.234.64","","9","","[{""M"":{""duration"":{""N"":""20""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""Mon Mar 27 22:32:22 2023""}}}]","2023-03-28T05:31:59.539Z","""Mozilla/5.0 (Linux; Android 9; GCE x86 phone Build/PGR1.190916.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Mobile Safari/537.36""","1.0.13"
"a2CyNLB0roGZ4Ip","","","5904789064.1679981429172","5","2023-03-28T05:30:34.419Z","","unknown","34.69.234.64","","9","","","2023-03-28T05:30:29.719Z","""Mozilla/5.0 (Linux; Android 9; GCE x86 phone Build/PGR1.190916.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Mobile Safari/537.36""","1.0.13"
"4CWYmMgA6RWUnz4","","","9729819935.1679976091210","1","2023-03-28T04:06:09.007Z","","unknown","108.177.7.91","","12","","","2023-03-28T04:06:08.079Z","""Mozilla/5.0 (Linux; Android 12; Pixel 6 Build/SQ1D.220205.004; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.4472.114 Mobile Safari/537.36""","1.0.13"
"f8uthtKYGBmg0jv","hotel","[{""M"":{""action"":{""S"":""log_out""},""log_time"":{""S"":""15:39:52""}}}]","5752083506.1668813242600","99","","","appstore","80.9.240.131","","15.3.1","","[{""M"":{""duration"":{""N"":""1""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""15:41:12""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""scanner""},""log_time"":{""S"":""15:41:15""}}}]","2022-11-27T14:39:48.733Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""","1.0.10"
"li85todU4JwUN39","hotel","","6864572312.1668906081515","140","2023-01-18T15:43:04.425Z","","com.android.vending","92.184.116.106","","11","","[{""M"":{""duration"":{""N"":""209""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""Wed Jan 18 16:40:46 2023""}}},{""M"":{""duration"":{""N"":""1""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""Wed Jan 18 16:40:49 2023""}}}]","2023-01-18T15:40:44.256Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2 Build/RKQ1.210607.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/108.0.5359.128 Mobile Safari/537.36""","1.0.13"
"giScCZ1DapF44Jz","hotel","","5752083506.1668813242600","11","2022-12-14T11:35:52.218Z","","appstore","80.9.240.131","","15.3.1","","","2022-12-14T11:35:41.357Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""","1.0.10"
"LPLyrcs8ueDIJe6","hotel","","5752083506.1668813242600","1","","","appstore","80.9.240.131","","15.3.1","","","2022-12-14T11:34:46.873Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""","1.0.10"
